"['[""list"",""of"",""words""]','[""list"",""of"",""words""]']","['2','4']","Let's change the sizes of our lists.","['cons','tail','count','count','""anything""']",{},{}
"['count(tail(list))','count([head(list)])','(list => (_ + _))(_)']","['2']","Let's get the size of our list.","['[""head"",""tail""]']",{},{}
"['[true,false,false,true]','[100,4,6,2]','(_) + (_)']","['103']","Reach the goal using the functions in the toolbox.","['head','tail','count']",{},{}
"['[10]','[5,2]']","['[2,1]']","Use count function to create new numbers and build a list","['__unlimited; cons','[]','(_) + (_)','count','count']",{},{}
"['(_) < (_)','function isASmallList(list) { return  _; }']","['true','true','false']","Build the smallList function to count how many items are smaller than 3.","['count','[1,5]','3','[]','list','[1,2,4,3]','__unlimited; isASmallList']",{},{}
"['[5,4,3,2,1]','[1,2,3,4,5,6,7]','function my_count(list) { return  _; }', 'my_count', '(_) ? (_) : (_)']","['5','7']","Using all that you've seen, let's try building our own count function.","['isEmpty','0','1','(_) == (_)','(_) + (_)','__unlimited; list','tail','__unlimited; my_count']",{},{}
"['function countStars(list) { return  _; }','(isEmpty) ? (_) : (((head) == (""star"")) ? ((_) + (countStars(tail(_)))) : (countStars(tail(_))))']","['1','1','2']","Let's only count how many specific items are in a list.","['0','1','__unlimited; list','[""star""]','[""star"",""rect"",""triangle""]','[""star"",""rect"",""star""]','__unlimited; countStars']",{},{}
"['function countHappy(list) { return  _; }','(isEmpty) ? (_) : (((head) == (""😃"")) ? ((_) + (countHappy(tail(_)))) : (countHappy(tail(_))))']","['0','1','3']","Let's only count how happy faces are in a list.","['0','1','__unlimited; list','[""😡""]','[""😃"",""😿"",""🥶""]','[""😃"",""😃"",""😃""]','__unlimited; countHappy']",{},{}
"['function countMonkeys(list) { return  _; }','(isEmpty) ? (_) : (((head) == (""🐒"")) ? ((_) + (countMonkeys(tail(_)))) : (countMonkeys(tail(_))))']","['0','1','0']","Let's only count how monkeys are in a list.","['0','1','__unlimited; list','[""🦆""]','[""🐫"",""🐳"",""🐒""]','[""🐧"",""🦁"",""🐶""]','__unlimited; countMonkeys']",{},{}
"['function countCondition(list,cond) { return  (isEmpty) ? (_) : (((cond)(_)) ? ((_) + (countCondition(_, cond))) : countCondition(_, cond)); }','countCondition([""😃"",""😡"",""😃""], (x) => (x) == (""😃""))','countCondition([""🐫"",""🐳"",""🐒""], (x) => (x) == (""🐒""))']","['1','2']","Let's wrapped what we've done in a single function. We can count an item in a list only when a condition is true.","['list','head(list)','__unlimited; tail(list)','0','1']","['function countCondition(list, cond) { isEmpty(list) ? 0 : (cond(head(list))) ? 1 + countCondition(tail(list), cond) : countCondition(tail(list), cond) }']",{},{}
"['(x) => (x) == (0)','countCondition']","['2']","Use the functions on lists to reach the goal.","['[0,4,5,0,0]','cons','head','tail']",{},{}
"['function filter(list,f) { return  (isEmpty(list)) ? ([]) : ((((f)(head(list))) == (true)) ? (cons(head(list), filter(tail(list), f))) : (filter(tail(list), f))); }','(e) => (e) == (1)','(e) => (e) > (1)','(e) => (e) > (5)']","['[1]','[2,3,4]','[]']","We can use a filter function that only keeps items that makes a condition true. Check it out!","['__unlimited; [1,2,3,4]','__unlimited; filter']","['function filter(list,f) { return  ((list) == ([])) ? ([]) : ((((f)(head(list))) == (true)) ? (cons(head(list), filter(tail(list), f))) : (filter(tail(list), f))); }']",{},{}
"['filter','filter','num','function biggerThanZero(num) { return  _; }']","['[]','[3,2,1]']","Let's try keeping all the items that are bigger than zero in the Lists","['(_) > (0)','__unlimited; biggerThanZero','[0,3,2,1]','[0,0,0,0]']",{},{}
"['function keepTrue(list) { return  _; }','(x) => _','[false,false,false,true]','[false,false,true,false]','[false]']","['[]','[true]','[true]']","Like before, let's keep only the True items in the Lists. Can you build a new function that uses filter?","['x','filter','list','__unlimited; keepTrue','(_) == (true)']",{},{}
"['function removeFace(list,face){ return _;}','list','""😭""','""😁""','[""😁"",""😭"",""😭"",""😁"",""😁"",""😭""]']","['[]']","We can also use filter to remove a specific item from the list","['face','__unlimited; removeFace','x => !(x == _)','filter']",{},{}
"['function my_filter(list,f) { return  _; }','[]','(isEmpty(list)) ? (_) : (((f)(_)) ? (cons(_, my_filter(_, f))) : (my_filter(_, f)))']","['[2]']","Now, let's trying completing our own filter function.","['__unlimited; my_filter','(e) => (e) == (2)','__unlimited; head(list)','__unlimited; tail(list)','[1,2,3]']",{},{}
"[]","[]","play","['addOne']","['function fold(f, a, i) { return 0;}']",{},{}
